ORI,AGENCY_NAME,Type
CA0010000,Alameda County Sheriff's Department,2
CA0010100,Alameda Police Department,3
CA001013A,ALAMEDA CO DA,5
CA001013G,Alameda County Probation Department ,5
CA0010200,Albany Police Department,3
CA0010300,Berkeley Police Department,3
CA0010400,Emeryville Police Department,3
CA0010500,Fremont Police Department,3
CA0010600,Hayward Police Department,3
CA0010700,Livermore Police Department,3
CA0010800,Newark Police Department,3
CA0010900,Oakland Police Department,3
CA0011000,Piedmont Police Department,3
CA0011100,Pleasanton Police Department,3
CA0011200,San Leandro Police Department,3
CA0011300,Union City Police Department,3
CA0011400,Alameda E. Bay Reg. Park Dist.,5
CA0011500,CSU East Bay Police Department,4
CA0012100,BART Police Department,5
CA0013300,OAKLAND HOUSING AUTHORITY,5
CA0019700,UC Berkeley Police Department,4
CA0020000,Alpine County Sheriff's Department,2
CA0030000,Amador County Sheriff's Department,2
CA003013A,AMADOR CO DISTRICT ATTORNEY'S OFFICE,5
CA003013G,Amador County Probation Department ,5
CA0030200,Ione Police Department,3
CA0030300,Jackson Police Department,3
CA0030500,Sutter Creek Police Department,3
CA0040000,Butte County Sheriff's Department,2
CA004013A,BUTTE CO DISTRICT ATTORNEY'S OFFICE,5
CA004013G,Butte County Probation Department ,5
CA0040200,Chico Police Department,3
CA0040300,Gridley Police Department,3
CA0040400,Oroville Police Department,3
CA0040500,Paradise Police Department,3
CA0041100,"BUTTE COMMUNITY COLLEGE PD	",4
CA0049700,CSU Chico Police Department,4
CA0050000,Calaveras County Sheriff's Department,2
CA0050100,Angels Camp Police Department,3
CA005013A,CALAVERAS CO DISTRICT ATTORNEY'S OFFICE,5
CA005013G,Calaveras County Probation Department ,5
CA0060000,Colusa County Sheriff's Department,2
CA0060100,Colusa Police Department,3
CA006013A,COLUSA CO DISTRICT ATTORNEY'S OFFICE,5
CA006013G,Colusa County Probation Department ,5
CA0060200,Williams Police Department,3
CA0070000,Contra Costa County Sheriff's Department,2
CA0070100,Antioch Police Department,3
CA007013G,Contra Costa County Probation Department ,5
CA0070200,Brentwood Police Department,3
CA0070300,Clayton Police Department,3
CA0070400,Concord Police Department,3
CA0070500,El Cerrito Police Department,3
CA0070600,Hercules Police Department,3
CA0070700,Pinole Police Department,3
CA0070800,Pittsburg Police Department,3
CA0070900,Pleasant Hill Police Department,3
CA0071000,Richmond Police Department,3
CA0071100,San Pablo Police Department,3
CA0071200,Walnut Creek Police Department,3
CA0071400,Martinez Police Department,3
CA0071600,Moraga Police Department,3
CA0072100,Contra Costa Community College Police Department,4
CA0073400,Oakley Police Department,3
CA0074000,San Ramon Police Department,3
CA0080000,Del Norte County Sheriff's Department,2
CA0080100,Crescent City Police Department,3
CA008013G,Del Norte County Probation Department ,5
CA0090000,El Dorado County Sheriff's Department,2
CA0090100,Placerville Police Department,3
CA009013A,EL DORADO CO DISTRICT ATTORNEY'S OFFICE,5
CA009013G,El Dorado County Probation Department ,5
CA0090200,South Lake Tahoe Police Department,3
CA0100000,Fresno County Sheriff's Department,2
CA0100100,Clovis Police Department,3
CA010013G,Fresno County Probation Department ,5
CA0100200,Coalinga Police Department,3
CA010023A,FRESNO CO DA,5
CA0100300,Firebaugh Police Department,3
CA0100400,Fowler Police Department,3
CA0100500,Fresno Police Department,3
CA0100600,Huron Police Department,3
CA0100700,Kerman Police Department,3
CA0100800,Kingsburg Police Department,3
CA0100900,Mendota Police Department,3
CA0101000,Orange Cove Police Department,3
CA0101100,Parlier Police Department,3
CA0101200,Reedley Police Department,3
CA0101300,Sanger Police Department,3
CA0101500,Selma Police Department,3
